Simulation,Time,Data,Var
7,12.745,,DON-3-GlcA (nmol/hr)
7,18.665,0.019058268,DON-3-GlcA (nmol/hr)
8,0.64,,DON-3-GlcA (nmol/hr)
8,1.925,,DON-3-GlcA (nmol/hr)
8,4.97,,DON-3-GlcA (nmol/hr)
8,8.51,,DON-3-GlcA (nmol/hr)
8,13.69,0.007866253,DON-3-GlcA (nmol/hr)
8,20.395,0.005962413,DON-3-GlcA (nmol/hr)
9,2.45,,DON-3-GlcA (nmol/hr)
9,6.79,,DON-3-GlcA (nmol/hr)
9,9.9,0.052097805,DON-3-GlcA (nmol/hr)
9,11.895,0.088162931,DON-3-GlcA (nmol/hr)
9,13.21,0.070621469,DON-3-GlcA (nmol/hr)
9,14.115,0.07400743,DON-3-GlcA (nmol/hr)
9,18.365,0.020450233,DON-3-GlcA (nmol/hr)
10,1.235,0.021872641,DON-3-GlcA (nmol/hr)
10,4,,DON-3-GlcA (nmol/hr)
10,7.18,,DON-3-GlcA (nmol/hr)
10,10.43,,DON-3-GlcA (nmol/hr)
10,13.255,0.025942581,DON-3-GlcA (nmol/hr)
10,15.38,0.017655367,DON-3-GlcA (nmol/hr)
10,18.95,0.015473243,DON-3-GlcA (nmol/hr)
10,22.62,0.015889831,DON-3-GlcA (nmol/hr)
11,0.09,,DON-3-GlcA (nmol/hr)
11,0.84,0.202234207,DON-3-GlcA (nmol/hr)
11,2.54,,DON-3-GlcA (nmol/hr)
11,5.295,0.037060829,DON-3-GlcA (nmol/hr)
11,8.17,0.046573641,DON-3-GlcA (nmol/hr)
11,10.29,0.034759004,DON-3-GlcA (nmol/hr)
11,13.915,,DON-3-GlcA (nmol/hr)
11,19.63,0.039073354,DON-3-GlcA (nmol/hr)
12,1.165,,DON-3-GlcA (nmol/hr)
12,3.87,,DON-3-GlcA (nmol/hr)
12,6.83,,DON-3-GlcA (nmol/hr)
12,9.5,0.022881356,DON-3-GlcA (nmol/hr)
12,12.275,0.022923034,DON-3-GlcA (nmol/hr)
12,18.36,0.021256133,DON-3-GlcA (nmol/hr)
12,23.46,0.012653013,DON-3-GlcA (nmol/hr)
13,1.75,,DON-3-GlcA (nmol/hr)
13,4.83,,DON-3-GlcA (nmol/hr)
13,7.705,,DON-3-GlcA (nmol/hr)
13,11.375,0.014207378,DON-3-GlcA (nmol/hr)
13,18.33,,DON-3-GlcA (nmol/hr)
13,23.58,,DON-3-GlcA (nmol/hr)
14,0.96,,DON-3-GlcA (nmol/hr)
14,3.375,,DON-3-GlcA (nmol/hr)
14,5.415,,DON-3-GlcA (nmol/hr)
