Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Qu_d3g	23.8		17.1404
1_1	1	Qu_d3g	23.9		17.148
1_1	1	Qu_d3g	24		17.1556
1_1	1	Qu_d3g	24.1		17.163
1_1	1	Qu_d3g	24.2		17.1702
1_1	1	Qu_d3g	24.3		17.1774
1_1	1	Qu_d3g	24.4		17.1844
1_1	1	Qu_d3g	24.5		17.1914
1_1	1	Qu_d3g	24.6		17.1982
1_1	1	Qu_d3g	24.7		17.2049
1_1	1	Qu_d3g	24.8		17.2114
1_1	1	Qu_d3g	24.9		17.2179
1_1	1	Qu_d3g	25		17.2243

1_1	1	Qu_d15g	0		0
1_1	1	Qu_d15g	0.1		0.0358093
1_1	1	Qu_d15g	0.2		0.139649
1_1	1	Qu_d15g	0.3		0.306377
1_1	1	Qu_d15g	0.4		0.531182
1_1	1	Qu_d15g	0.5		0.809539
1_1	1	Qu_d15g	0.6		1.13721
1_1	1	Qu_d15g	0.7		1.51024
1_1	1	Qu_d15g	0.8		1.92489
1_1	1	Qu_d15g	0.9		2.37771
1_1	1	Qu_d15g	1		2.8654
1_1	1	Qu_d15g	1.1		3.38493
1_1	1	Qu_d15g	1.2		3.93343
1_1	1	Qu_d15g	1.3		4.50824
1_1	1	Qu_d15g	1.4		5.10682
1_1	1	Qu_d15g	1.5		5.72688
1_1	1	Qu_d15g	1.6		6.3662
1_1	1	Qu_d15g	1.7		7.02276
1_1	1	Qu_d15g	1.8		7.69463
1_1	1	Qu_d15g	1.9		8.38003
1_1	1	Qu_d15g	2		9.0773
1_1	1	Qu_d15g	2.1		9.78489
1_1	1	Qu_d15g	2.2		10.5013
1_1	1	Qu_d15g	2.3		11.2253
1_1	1	Qu_d15g	2.4		11.9556
1_1	1	Qu_d15g	2.5		12.6909
1_1	1	Qu_d15g	2.6		13.4303
1_1	1	Qu_d15g	2.7		14.1726
1_1	1	Qu_d15g	2.8		14.917
1_1	1	Qu_d15g	2.9		15.6626
1_1	1	Qu_d15g	3		16.4086
1_1	1	Qu_d15g	3.1		17.1542
1_1	1	Qu_d15g	3.2		17.8988
1_1	1	Qu_d15g	3.3		18.6416
1_1	1	Qu_d15g	3.4		19.3822
1_1	1	Qu_d15g	3.5		20.1199
1_1	1	Qu_d15g	3.6		20.8543
1_1	1	Qu_d15g	3.7		21.5849
1_1	1	Qu_d15g	3.8		22.3112
1_1	1	Qu_d15g	3.9		23.033
1_1	1	Qu_d15g	4		23.7497
1_1	1	Qu_d15g	4.1		24.4612
1_1	1	Qu_d15g	4.2		25.1671
1_1	1	Qu_d15g	4.3		25.8672
1_1	1	Qu_d15g	4.4		26.5611
1_1	1	Qu_d15g	4.5		27.2487
1_1	1	Qu_d15g	4.6		27.9298
1_1	1	Qu_d15g	4.7		28.6043
1_1	1	Qu_d15g	4.8		29.2718
1_1	1	Qu_d15g	4.9		29.9324
1_1	1	Qu_d15g	5		30.5859
1_1	1	Qu_d15g	5.1		31.2323
1_1	1	Qu_d15g	5.2		31.8713
1_1	1	Qu_d15g	5.3		32.5029
1_1	1	Qu_d15g	5.4		33.1271
1_1	1	Qu_d15g	5.5		33.7438
1_1	1	Qu_d15g	5.6		34.353
1_1	1	Qu_d15g	5.7		34.9546
1_1	1	Qu_d15g	5.8		35.5486
1_1	1	Qu_d15g	5.9		36.135
1_1	1	Qu_d15g	6		36.7139
1_1	1	Qu_d15g	6.1		37.2851
1_1	1	Qu_d15g	6.2		37.8488
1_1	1	Qu_d15g	6.3		38.4049
1_1	1	Qu_d15g	6.4		38.9534
1_1	1	Qu_d15g	6.5		39.4944
1_1	1	Qu_d15g	6.6		40.028
1_1	1	Qu_d15g	6.7		40.5541
1_1	1	Qu_d15g	6.8		41.0728
1_1	1	Qu_d15g	6.9		41.5842
1_1	1	Qu_d15g	7		42.0883
1_1	1	Qu_d15g	7.1		42.5851
1_1	1	Qu_d15g	7.2		43.0747
1_1	1	Qu_d15g	7.3		43.5572
1_1	1	Qu_d15g	7.4		44.0326
1_1	1	Qu_d15g	7.5		44.5011
1_1	1	Qu_d15g	7.6		44.9626
1_1	1	Qu_d15g	7.7		45.4172
1_1	1	Qu_d15g	7.8		45.865
1_1	1	Qu_d15g	7.9		46.3061
1_1	1	Qu_d15g	8		46.7405
1_1	1	Qu_d15g	8.1		47.1684
1_1	1	Qu_d15g	8.2		47.5898
1_1	1	Qu_d15g	8.3		48.0047
1_1	1	Qu_d15g	8.4		48.4132
1_1	1	Qu_d15g	8.5		48.8155
1_1	1	Qu_d15g	8.6		49.2116
1_1	1	Qu_d15g	8.7		49.6016
1_1	1	Qu_d15g	8.8		49.9855
1_1	1	Qu_d15g	8.9		50.3634
1_1	1	Qu_d15g	9		50.7354
1_1	1	Qu_d15g	9.1		51.1016
1_1	1	Qu_d15g	9.2		51.4621
1_1	1	Qu_d15g	9.3		51.8169
1_1	1	Qu_d15g	9.4		52.1662
1_1	1	Qu_d15g	9.5		52.5099
1_1	1	Qu_d15g	9.6		52.8482
1_1	1	Qu_d15g	9.7		53.1811
1_1	1	Qu_d15g	9.8		53.5087
1_1	1	Qu_d15g	9.9		53.8311
1_1	1	Qu_d15g	10		54.1484
1_1	1	Qu_d15g	10.1		54.4607
1_1	1	Qu_d15g	10.2		54.7679
1_1	1	Qu_d15g	10.3		55.0703
1_1	1	Qu_d15g	10.4		55.3677
1_1	1	Qu_d15g	10.5		55.6605
1_1	1	Qu_d15g	10.6		55.9485
1_1	1	Qu_d15g	10.7		56.2319
1_1	1	Qu_d15g	10.8		56.5107
1_1	1	Qu_d15g	10.9		56.7851
